Ensembl Gene ID	Band
ENSG00000252404	p36.23
ENSG00000280526	p35.3
ENSG00000278267	p36.33
ENSG00000264208	p32.3
ENSG00000252760	p13.3
ENSG00000266417	q25.2
ENSG00000278471	p36.13
ENSG00000278099	q21.1
ENSG00000263384	q24.2
ENSG00000276584	q21.3
ENSG00000212266	p12
ENSG00000276884	p31.3
ENSG00000253086	p36.22
ENSG00000207144	q22
ENSG00000252802	p36.11
ENSG00000274059	q32.2
ENSG00000207039	q21.3
ENSG00000202222	p34.2
ENSG00000200972	q32.2
ENSG00000278702	p34.3
ENSG00000264022	q21.1
ENSG00000207466	p34.3
ENSG00000201028	p13.2
ENSG00000241395	q32.3
ENSG00000132716	q23.2
ENSG00000199840	q25.3
ENSG00000200591	p35.1
ENSG00000252612	q25.3
ENSG00000223229	p21.3
ENSG00000200344	p36.23
ENSG00000244066	q44
ENSG00000252005	p31.1
ENSG00000222788	q21.2
ENSG00000251750	q43
ENSG00000252236	q22
ENSG00000211575	p22.1
ENSG00000212086	q23.3
ENSG00000207759	q32.1
ENSG00000275884	p36.33
ENSG00000264551	p31.3
ENSG00000200575	p31.3
ENSG00000202082	q24.3
ENSG00000281572	q25.3
ENSG00000177553	p36.22
ENSG00000199270	q42.13
ENSG00000206828	q21.2
ENSG00000251696	q32.1
ENSG00000252098	p36.11
ENSG00000199963	p34.3
ENSG00000278671	p31.1
ENSG00000278073	p36.33
ENSG00000273854	p33
ENSG00000277622	p34.2
ENSG00000265960	q22
ENSG00000232514	p33
ENSG00000279214	p33
ENSG00000200085	q44
ENSG00000199337	q42.13
ENSG00000200624	q42.13
ENSG00000206704	p35.3
ENSG00000252086	q41
ENSG00000198974	p34.2
ENSG00000263793	p36.12
ENSG00000222240	q31.1
ENSG00000272262	q32.1
ENSG00000201273	p36.12
ENSG00000252784	p31.3
ENSG00000238778	p31.3
ENSG00000264128	p32.1
ENSG00000251767	p31.1
ENSG00000277990	p21.3
ENSG00000202415	p36.22
ENSG00000264773	p35.2
ENSG00000215910	p36.22
ENSG00000199710	p13.3
ENSG00000206635	q21.3
ENSG00000200508	p31.3
ENSG00000207434	p36.21
ENSG00000239319	p31.3
ENSG00000278249	p13.3
ENSG00000238952	q44
ENSG00000222209	p12
ENSG00000201638	q42.3
ENSG00000212601	p22.1
ENSG00000264742	p36.13
ENSG00000280760	p31.3
ENSG00000202444	p34.1
ENSG00000240374	p34.3
ENSG00000264686	p31.1
ENSG00000207080	q25.3
ENSG00000265108	q31.3
ENSG00000222080	q32.3
ENSG00000238037	p34.1
ENSG00000200360	p13.2
ENSG00000244568	q25.3
ENSG00000275933	p11.2
ENSG00000207502	p13.1
ENSG00000198658	q21.2
ENSG00000240490	p36.13
ENSG00000212076	p32.3
ENSG00000273695	p36.12
ENSG00000251866	p36.21
ENSG00000223026	p31.1
ENSG00000206880	q24.2
ENSG00000281598	p36.13
ENSG00000271121	q21.1
ENSG00000242688	p36.13
ENSG00000251508	q42.2
ENSG00000278067	q42.13
ENSG00000207941	p34.3
ENSG00000264293	p36.33
ENSG00000277406	q21.1
ENSG00000231940	q42.2
ENSG00000277141	p12
ENSG00000201602	q44
ENSG00000201919	p36.12
ENSG00000216045	p36.31
ENSG00000263841	q21.3
ENSG00000201758	q44
ENSG00000277655	q21.1
ENSG00000207513	p36.13
ENSG00000207328	p34.3
ENSG00000281096	q25.1
ENSG00000277420	q21.1
ENSG00000274207	p31.1
ENSG00000251977	p36.23
ENSG00000276493	p35.2
ENSG00000199347	p36.22
ENSG00000277452	q21.2
ENSG00000277313	p12
ENSG00000273629	q25.2
ENSG00000244137	q42.2
ENSG00000202609	q25.2
ENSG00000202385	p22.2
ENSG00000221425	p13.1
ENSG00000189409	p36.33
ENSG00000221390	q24.3
ENSG00000212157	q42.11
ENSG00000272051	p32.3
ENSG00000278636	p31.1
ENSG00000274199	p31.3
ENSG00000266678	p35.3
ENSG00000222407	q42.2
ENSG00000273573	q25.3
ENSG00000201183	q21.2
ENSG00000252860	q32.1
ENSG00000265404	p32.3
ENSG00000225656	q42.2
ENSG00000200254	p34.2
ENSG00000221777	p21.3
ENSG00000277678	q21.1
ENSG00000212187	q32.3
ENSG00000277689	p31.3
ENSG00000275459	p36.22
ENSG00000225080	q21.2
ENSG00000202056	q42.13
ENSG00000251914	p36.12
ENSG00000143674	q42.2
ENSG00000201987	q23.3
ENSG00000201699	q21.2
ENSG00000243267	p36.22
ENSG00000264613	p32.3
ENSG00000242860	p31.3
ENSG00000266618	q42.11
ENSG00000200220	q21.3
ENSG00000265815	p32.3
ENSG00000239101	p32.3
ENSG00000200327	q23.3
ENSG00000207356	p34.2
ENSG00000264048	p36.21
ENSG00000275233	q31.3
ENSG00000281218	p34.3
ENSG00000200175	q21.3
ENSG00000238653	p31.3
ENSG00000243539	p36.22
ENSG00000206737	q21.1
ENSG00000223254	p22.3
ENSG00000273768	q21.1
ENSG00000252121	p22.1
ENSG00000281866	p36.12
ENSG00000221560	q21.1
ENSG00000227091	p13.3
ENSG00000221680	q31.2
ENSG00000252338	p31.1
ENSG00000221733	p31.3
ENSG00000280874	q21.2
ENSG00000238754	q31.2
ENSG00000223307	p32.2
ENSG00000201114	p13.2
ENSG00000273910	p34.2
ENSG00000212205	q32.3
ENSG00000206999	p31.1
ENSG00000223075	q31.2
ENSG00000222831	q42.3
ENSG00000206680	p22.1
ENSG00000117139	q32.1
ENSG00000200674	q25.1
ENSG00000264834	p32.3
ENSG00000278228	p34.3
ENSG00000200171	p34.1
ENSG00000200421	p34.3
ENSG00000281534	p34.1
ENSG00000239794	p22.1
ENSG00000221225	p35.1
ENSG00000280113	p36.22
ENSG00000231791	q25.3
ENSG00000206637	q32.1
ENSG00000280649	q21.2
ENSG00000278124	p36.12
ENSG00000275509	p11.2
ENSG00000199385	p34.1
ENSG00000206803	q42.3
ENSG00000265381	q23.2
ENSG00000251943	q24.3
ENSG00000238705	p36.11
ENSG00000270722	q21.1
ENSG00000271387	q25.3
ENSG00000252563	p34.2
ENSG00000221673	q41
ENSG00000275455	p13.3
ENSG00000207302	p36.11
ENSG00000206651	q22
ENSG00000252817	q21.3
ENSG00000201492	q42.13
ENSG00000264926	p36.11
ENSG00000251933	q42.12
ENSG00000251789	q41
ENSG00000252906	q25.1
ENSG00000201170	q44
ENSG00000207241	p31.1
ENSG00000201542	p34.3
ENSG00000212538	q23.3
ENSG00000224093	p22.1
ENSG00000207508	p34.2
ENSG00000199396	q42.13
ENSG00000274321	p22.2
ENSG00000252429	p36.11
ENSG00000221040	p13.1
ENSG00000266150	p32.1
ENSG00000280851	p36.23
ENSG00000265435	q25.3
ENSG00000232628	q42.11
ENSG00000239504	p22.2
ENSG00000230439	p22.1
ENSG00000243905	p36.11
ENSG00000222397	q25.3
ENSG00000252162	p32.3
ENSG00000278465	q32.1
ENSG00000206817	p22.2
ENSG00000199890	p13.2
ENSG00000207349	q21.1
ENSG00000238482	p36.11
ENSG00000238365	q25.1
ENSG00000232036	q25.3
ENSG00000201619	q25.2
ENSG00000200087	p35.3
ENSG00000251825	p31.1
ENSG00000243173	q23.3
ENSG00000201312	q25.3
ENSG00000277681	q32.1
ENSG00000221655	p31.3
ENSG00000202027	q22
ENSG00000281506	p36.23
ENSG00000221798	p21.3
ENSG00000201493	q41
ENSG00000212512	q32.1
ENSG00000212338	q25.2
ENSG00000119280	q42.2
ENSG00000221578	q24.2
ENSG00000202184	q44
ENSG00000090273	p36.11
ENSG00000222787	p35.3
ENSG00000212292	q21.3
ENSG00000207321	q21.3
ENSG00000253074	p31.3
ENSG00000252840	q21.3
ENSG00000281712	p34.2
ENSG00000264239	p31.1
ENSG00000221406	q42.11
ENSG00000264358	q32.3
ENSG00000278549	q21.1
ENSG00000265771	p21.3
ENSG00000276081	p31.1
ENSG00000202078	q23.2
ENSG00000206791	q21.2
ENSG00000206659	q25.1
ENSG00000207082	q23.3
ENSG00000274258	p36.23
ENSG00000266683	q25.3
ENSG00000223282	q42.12
ENSG00000222650	q42.3
ENSG00000202031	p34.1
ENSG00000201725	p36.23
ENSG00000202526	q42.13
ENSG00000253005	p35.3
ENSG00000239560	p34.1
ENSG00000221126	p35.3
ENSG00000216037	p21.3
ENSG00000252515	q21.2
ENSG00000276869	p36.22
ENSG00000280869	q42.3
ENSG00000280791	p36.12
ENSG00000201925	q42.13
ENSG00000265596	p34.3
ENSG00000280747	p36.33
ENSG00000277916	p35.3
ENSG00000265201	q43
ENSG00000266358	p36.21
ENSG00000280566	q21.2
ENSG00000223152	p31.3
ENSG00000263908	p31.3
ENSG00000273591	q21.2
ENSG00000201746	p36.22
ENSG00000266239	p35.1
ENSG00000276752	q32.2
ENSG00000265422	p36.12
ENSG00000252254	p36.23
ENSG00000252032	p32.3
ENSG00000266388	p31.1
ENSG00000265589	q23.1
ENSG00000266393	q25.2
ENSG00000266802	p36.12
ENSG00000215938	q21.3
ENSG00000212398	q41
ENSG00000265744	q42.2
ENSG00000200174	p31.3
ENSG00000280731	q25.2
ENSG00000201801	p36.22
ENSG00000252407	q25.3
ENSG00000281570	p35.3
ENSG00000242794	q42.2
ENSG00000239149	p36.21
ENSG00000266564	p36.12
ENSG00000221664	p31.1
ENSG00000201405	p36.12
ENSG00000275229	q21.2
ENSG00000221216	p35.3
ENSG00000266511	p36.11
ENSG00000264809	q25.2
ENSG00000202461	p36.22
ENSG00000207501	q21.1
ENSG00000221643	q32.1
ENSG00000263548	q23.3
ENSG00000276335	q32.2
ENSG00000222854	q21.1
ENSG00000196505	p12
ENSG00000200169	p34.1
ENSG00000207933	q22
ENSG00000201544	q32.3
ENSG00000264294	p34.1
ENSG00000201317	p22.1
ENSG00000074964	p36.13
ENSG00000221808	p36.12
ENSG00000221550	p35.3
ENSG00000198976	p36.33
ENSG00000276645	p35.1
ENSG00000252717	p21.1
ENSG00000242565	q21.3
ENSG00000207205	q21.1
ENSG00000206585	q21.2
ENSG00000219102	p32.3
ENSG00000230470	q25.3
ENSG00000200408	q32.1
ENSG00000222378	p34.3
ENSG00000238825	q21.2
ENSG00000200839	p32.3
ENSG00000240750	p35.3
ENSG00000223306	q42.12
ENSG00000252750	p13.2
ENSG00000243437	p31.1
ENSG00000116667	q25.3
ENSG00000206654	p34.3
ENSG00000264081	p32.1
ENSG00000207504	p31.3
ENSG00000200403	p36.13
ENSG00000252484	q42.11
ENSG00000266580	p35.2
ENSG00000265320	p36.11
ENSG00000260971	p32.2
ENSG00000275000	q31.1
ENSG00000202263	p31.1
ENSG00000252222	q25.3
ENSG00000264896	p34.2
ENSG00000212610	q41
ENSG00000222552	q23.2
ENSG00000253060	q24.3
ENSG00000252822	q42.3
ENSG00000200800	p21.3
ENSG00000276642	q41
ENSG00000162542	p36.13
ENSG00000266125	q25.1
ENSG00000207234	p22.2
ENSG00000252018	p32.3
ENSG00000266584	p36.13
ENSG00000206905	q25.3
ENSG00000202408	q21.2
ENSG00000264271	p31.3
ENSG00000221165	q44
ENSG00000216162	p34.3
ENSG00000221720	p31.1
ENSG00000275915	p36.22
ENSG00000221032	p36.11
ENSG00000208024	q24.3
ENSG00000264768	q25.3
ENSG00000207472	q25.3
ENSG00000276889	p35.3
ENSG00000201448	p34.3
ENSG00000252920	q21.3
ENSG00000239006	q21.1
ENSG00000266203	p35.2
ENSG00000277294	p36.33
ENSG00000281322	p36.22
ENSG00000221662	p36.13
ENSG00000274121	q42.2
ENSG00000277082	p36.33
ENSG00000273874	p36.33
ENSG00000201134	q21.3
ENSG00000281588	q42.13
ENSG00000281451	q42.13
ENSG00000207962	p34.2
ENSG00000202079	q44
ENSG00000252650	q32.1
ENSG00000238532	p13.1
ENSG00000066294	q23.3
ENSG00000253097	q32.1
ENSG00000206935	p36.12
ENSG00000265141	p36.23
ENSG00000252682	q21.3
ENSG00000252765	p21.2
ENSG00000240692	p31.1
ENSG00000280687	q32.1
ENSG00000222370	q41
ENSG00000207523	p22.1
ENSG00000200601	p31.1
ENSG00000201789	q21.1
ENSG00000264470	p31.3
ENSG00000278596	q21.2
ENSG00000207421	p34.1
ENSG00000222112	p35.1
ENSG00000278750	q32.1
ENSG00000207721	p31.1
ENSG00000241745	p32.3
ENSG00000274582	p35.3
ENSG00000199459	p22.3
ENSG00000280801	p36.23
ENSG00000238934	q23.3
ENSG00000201900	p13.2
ENSG00000252417	p36.21
ENSG00000201153	p31.3
ENSG00000221340	p36.21
ENSG00000207149	p12
ENSG00000207606	q21.3
ENSG00000252282	q44
ENSG00000143434	q21.3
ENSG00000199672	q42.13
ENSG00000241347	q23.3
ENSG00000278034	p36.11
ENSG00000207720	q22
ENSG00000207341	q24.1
ENSG00000243872	q41
ENSG00000281112	p34.1
ENSG00000263676	p36.22
ENSG00000252987	q24.2
ENSG00000273516	p11.2
ENSG00000223263	p31.3
ENSG00000212144	q42.2
ENSG00000274674	q42.12
ENSG00000200913	p34.1
ENSG00000240502	q42.2
ENSG00000223181	p36.33
ENSG00000266174	q42.13
ENSG00000263805	q32.1
ENSG00000276103	q21.3
ENSG00000202167	q21.1
ENSG00000206835	q42.2
ENSG00000252956	p36.22
ENSG00000252578	p36.12
ENSG00000278882	p11.2
ENSG00000207139	q31.3
ENSG00000281023	p36.11
ENSG00000221290	q42.2
ENSG00000206627	p32.3
ENSG00000207974	q24.2
ENSG00000252135	q21.2
ENSG00000199849	q23.3
ENSG00000199565	q21.3
ENSG00000264881	p36.22
ENSG00000276839	q25.3
ENSG00000201421	q25.3
ENSG00000222282	p34.3
ENSG00000206887	q42.11
ENSG00000252879	q32.3
ENSG00000253025	q25.2
ENSG00000122223	q23.3
ENSG00000266832	p31.1
ENSG00000276830	p36.21
ENSG00000202491	q32.1
ENSG00000252530	p21.2
ENSG00000200262	p32.3
ENSG00000281342	p36.22
ENSG00000275538	p11.2
ENSG00000266687	p36.31
ENSG00000260698	q44
ENSG00000206888	p36.11
ENSG00000201868	p34.3
ENSG00000276470	p36.22
ENSG00000264181	p36.22
ENSG00000207190	p31.3
ENSG00000206684	q24.3
ENSG00000266739	q21.2
ENSG00000239690	q42.3
ENSG00000222821	p34.3
ENSG00000274428	q21.1
ENSG00000222784	p35.2
ENSG00000277344	p36.13
ENSG00000206921	q23.3
ENSG00000200381	q42.13
ENSG00000266825	q25.3
ENSG00000252433	p31.3
ENSG00000207134	q22
ENSG00000239494	q24.2
ENSG00000279468	p35.2
ENSG00000202063	q42.2
ENSG00000222222	q21.2
ENSG00000211525	q42.13
ENSG00000252357	q25.1
ENSG00000263542	p31.3
ENSG00000243051	q24.2
ENSG00000252516	q44
ENSG00000264384	q21.3
ENSG00000280816	p36.23
ENSG00000281475	q42.2
ENSG00000221026	q32.3
ENSG00000202257	q42.13
ENSG00000207491	q32.3
ENSG00000221539	p35.3
ENSG00000221488	q32.2
ENSG00000252744	q21.2
ENSG00000223009	p31.1
ENSG00000265392	p36.31
ENSG00000199241	q43
ENSG00000251720	p31.3
ENSG00000252190	p36.11
ENSG00000277234	p36.13
ENSG00000222664	p22.1
ENSG00000281696	q41
ENSG00000265753	q21.3
ENSG00000221053	p35.1
ENSG00000264371	p36.11
ENSG00000207865	p36.22
ENSG00000278281	p22.3
ENSG00000266187	q21.2
ENSG00000264286	q25.2
ENSG00000239007	p32.3
ENSG00000238773	p32.2
ENSG00000202254	p21.2
ENSG00000235021	q44
ENSG00000242764	p22.1
ENSG00000207022	p22.1
ENSG00000200536	p13.3
ENSG00000249087	p36.12
ENSG00000274153	p36.33
ENSG00000222986	q42.2
ENSG00000206640	q25.3
ENSG00000252752	p22.1
ENSG00000252368	p34.3
ENSG00000252656	q21.2
ENSG00000206595	p32.3
ENSG00000265961	p35.2
ENSG00000274408	q21.1
ENSG00000212039	p21.3
ENSG00000264698	p34.3
ENSG00000281479	p34.2
ENSG00000264419	p13.1
ENSG00000252231	q25.1
ENSG00000143653	q44
ENSG00000239640	p32.3
ENSG00000275836	p31.3
ENSG00000221547	q25.2
ENSG00000206620	p31.1
ENSG00000207750	p21.2
ENSG00000207975	q32.1
ENSG00000200495	q44
ENSG00000264483	q42.13
ENSG00000274975	p34.2
ENSG00000266262	q43
ENSG00000251837	p22.1
ENSG00000242769	p13.2
ENSG00000252151	p36.21
ENSG00000274940	q21.3
ENSG00000281134	q21.2
ENSG00000206980	q21.3
ENSG00000199562	p36.22
ENSG00000266763	p36.11
ENSG00000202259	p21.2
ENSG00000222849	p31.1
ENSG00000201487	p31.1
ENSG00000273610	p36.12
ENSG00000201558	q21.1
ENSG00000281158	q41
ENSG00000201321	q42.13
ENSG00000252116	p31.3
ENSG00000275823	p31.3
ENSG00000221403	q32.1
ENSG00000252450	p35.2
ENSG00000207607	p36.33
ENSG00000238765	q21.2
ENSG00000207590	q41
ENSG00000253022	p36.31
ENSG00000199318	p22.3
ENSG00000180098	p35.3
ENSG00000252731	q31.3
ENSG00000200975	p36.23
ENSG00000281918	p13.2
ENSG00000201148	p35.1
ENSG00000234080	p32.3
ENSG00000280842	p22.3
ENSG00000212459	p22.2
ENSG00000229316	p32.3
ENSG00000222623	p36.33
ENSG00000265986	q31.3
ENSG00000270728	p36.13
ENSG00000276835	p36.12
ENSG00000273727	p12
ENSG00000263568	q44
ENSG00000201620	p22.3
ENSG00000278491	p34.3
ENSG00000222511	p36.23
ENSG00000135750	q42.2
ENSG00000242482	p31.3
ENSG00000222749	q25.2
ENSG00000265521	p36.22
ENSG00000224445	p21.2
ENSG00000280742	p32.3
ENSG00000202300	q32.1
ENSG00000276381	q24.3
ENSG00000265606	p36.13
ENSG00000265543	p22.1
ENSG00000200982	q44
ENSG00000233750	p36.33
ENSG00000252073	q44
ENSG00000201032	q32.1
ENSG00000264972	q41
ENSG00000203985	p32.3
ENSG00000276442	q21.1
ENSG00000201491	p21.2
ENSG00000207326	q44
ENSG00000251754	q44
ENSG00000202521	q42.13
ENSG00000264341	p36.31
ENSG00000199934	p22.3
ENSG00000207340	q21.2
ENSG00000174606	q32.3
ENSG00000229978	p36.21
ENSG00000206762	q32.1
ENSG00000253039	p34.1
ENSG00000207056	p36.23
ENSG00000223390	p32.3
ENSG00000238316	p36.11
ENSG00000233125	p22.1
ENSG00000212248	p21.2
ENSG00000206990	q24.1
ENSG00000252691	p36.11
ENSG00000206652	p36.13
ENSG00000206931	q21.3
ENSG00000252830	q21.1
ENSG00000278966	p35.1
ENSG00000263497	q21.1
ENSG00000252262	q23.3
ENSG00000277617	p35.2
ENSG00000143363	q21.3
ENSG00000200759	q21.3
ENSG00000207389	p36.13
ENSG00000265042	q25.3
ENSG00000251813	q31.3
ENSG00000120952	p36.21
ENSG00000125945	p36.12
ENSG00000274366	p11.2
ENSG00000263439	q42.3
ENSG00000279096	p33
ENSG00000280887	p32.3
ENSG00000233336	p36.21
ENSG00000277116	q23.3
ENSG00000281125	q32.1
ENSG00000277862	p36.21
ENSG00000281319	p35.2
ENSG00000206767	p35.3
ENSG00000199831	p32.3
ENSG00000243073	p36.21
ENSG00000252396	q43
ENSG00000235673	p34.3
ENSG00000206779	p35.3
ENSG00000188786	p34.3
ENSG00000263675	p34.3
ENSG00000276280	p21.3
ENSG00000263529	p35.1
ENSG00000251958	p31.1
ENSG00000274963	q21.2
ENSG00000134248	p13.3
ENSG00000212541	p34.3
ENSG00000265216	q42.13
ENSG00000266160	q23.1
ENSG00000201270	q23.3
ENSG00000201129	q21.3
ENSG00000281297	p21.1
ENSG00000278287	p31.3
ENSG00000162877	q32.1
ENSG00000264944	q42.13
ENSG00000186827	p36.33
ENSG00000201142	q21.1
ENSG00000199959	p31.1
ENSG00000266210	p35.2
ENSG00000280715	p35.1
ENSG00000266294	p34.1
ENSG00000201347	q25.2
ENSG00000273774	q25.3
ENSG00000277565	p31.3
ENSG00000280498	p35.3
ENSG00000280763	p36.21
ENSG00000239945	p36.33
ENSG00000221781	p36.12
ENSG00000221028	q32.1
ENSG00000278939	q21.2
ENSG00000238009	p36.33
ENSG00000273694	p11.2
ENSG00000252553	q31.1
ENSG00000274450	q21.1
ENSG00000252448	p34.3
ENSG00000212527	q23.3
ENSG00000252413	p34.2
ENSG00000277918	q21.1
ENSG00000279374	q31.1
ENSG00000252510	p13.1
ENSG00000227687	q32.1
ENSG00000277397	p32.3
ENSG00000275213	q32.1
ENSG00000271732	p36.13
ENSG00000237920	q21.3
ENSG00000226855	q21.3
ENSG00000236713	q21.3
ENSG00000275291	q21.1
ENSG00000067704	q41
ENSG00000271398	p35.3
ENSG00000243155	q25.3
ENSG00000270711	q25.3
ENSG00000075151	p36.12
ENSG00000232586	q25.3
ENSG00000162757	q32.2
ENSG00000130766	p35.3
ENSG00000157184	p32.3
ENSG00000117595	q32.2
ENSG00000281615	q25.3
ENSG00000234425	q23.3
ENSG00000279487	q22
ENSG00000270339	q21.1
ENSG00000201898	q42.11
ENSG00000160712	q21.3
ENSG00000264802	q32.1
ENSG00000153029	q25.3
ENSG00000228879	q44
ENSG00000162384	p32.3
ENSG00000278868	p35.3
